id;name;type-id;is-active;template-id;parent-id;alt-name;title;h1;show_submenu;index_source;index_state;index_date;index_choose;index_level;descr;text_under_catalog;photo;tax_rate_id;price;old_price;common_quantity;description;1c_catalog_id;1c_product_id;artikul;photos;text_above_catalog;tip;raznovidnost;upravlenie;vyhodnaya_mownost_vt;napryazhenie_v;kolichestvo_svetodiodov_sht;shag_pikselya_mm;gercovka_hz;yarkost_nits;razmer_mm;proizvoditel;best_offers;svetovoj_potok_lm;cvet;temperatura_k;isklyuchit_iz_publikacii_na_veb-vitrine_mag1c;interfejs;razmer_mm_shirina_vysota;brend;new;sila_toka_a;shirina_mm;kratnost_reza_sm
2278;Кабинет стальной 960х960 outdoor (фронтал обслуж);305;1;1;2260;kabinet-stal-noj-960h960-outdoor-frontal-obsluzh;Кабинет стальной 960х960 outdoor (фронтал обслуж);Кабинет стальной 960х960 outdoor (фронтал обслуж);;;;;;;;;/images/cms/data/import_files/b3/b31559abc79c11ebbba400155d003248_f1d143cdb1dd11edbbae00155d006405.jpg;НДС по ставке 20%;14871;0;0;"Коммутация в комплекте : Нет<br />
Обслуживание : Фронтальное<br />
Размер : 960х960<br />
Вес : 20 кг<br />
<br />
Подробно :  <br><p><a href=""https://disk.yandex.ru/i/vLsrRjipW2aFFA"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;b31559ab-c79c-11eb-bba4-00155d003248;KAB960/960OUT-F;path:./images/cms/data/import_files/b3/b31559abc79c11ebbba400155d003248_ed187bc4b1dd11edbbae00155d006405.jpg|alt:|title:|ord:1,path:./images/cms/data/import_files/b3/b31559abc79c11ebbba400155d003248_f1d14363b1dd11edbbae00155d006405.jpg|alt:|title:|ord:1;;;Кабинет;;;;;;;;960/960;;;;;;;;;;;;;
2318;Подвес кабинета 512 мм;305;1;1;2260;podves-kabineta-512-mm;Подвес кабинета 512 мм;Подвес кабинета 512 мм;;;;;;;;;/images/cms/data/import_files/35/35593efe356711ecbba500155d003248_1c246adeb1df11edbbae00155d006405.jpg;НДС по ставке 20%;4781;0;0;"Размер (Кабинеты) : 512х512<br />
Вес : 2,5 кг<br />
Производитель (Кабинеты) : Qiangli";238e4031-cbb7-4107-9538-8df70738a5fe;35593efe-3567-11ec-bba5-00155d003248;P512;;;;Подвес;;;;;;;;;;;;;;;;;;;;;
2330;Кабинет стальной 960х960 outdoor (тыльное обслуж, одна дверь);305;1;1;2260;kabinet-stal-noj-960h960-outdoor-tyl-noe-obsluzh-odna-dver;Кабинет стальной 960х960 outdoor (тыльное обслуж, одна дверь);Кабинет стальной 960х960 outdoor (тыльное обслуж, одна дверь);;;;;;;;;/images/cms/data/import_files/07/0740a218c79d11ebbba400155d003248_b2c23395b1dd11edbbae00155d006405.jpg;НДС по ставке 20%;13384;0;0;"Коммутация в комплекте : Нет<br />
Обслуживание : Тыльное<br />
Размер : 960х960<br />
Вес : 16 кг<br />
<br />
Подробно :  <br><p><a href=""https://disk.yandex.ru/i/ta9WIPiJ180WDg"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;0740a218-c79d-11eb-bba4-00155d003248;KAB960/960OUT-T1;;;;Кабинет;;;;;;;;960/960;;;;;;;;;;;;;
2355;"Кабинет ""Аптечный крест"" 576*576 крепление модулей на магниты, крепление на стену";305;1;1;2260;kabinet-aptechnyj-krest-576-576-kreplenie-modulej-na-magnity-kreplenie-na-stenu;"Кабинет ""Аптечный крест"" 576*576 крепление модулей на магниты, крепление на стену";"Кабинет ""Аптечный крест"" 576*576 крепление модулей на магниты, крепление на стену";;;;;;;;;/images/cms/data/import_files/a4/a42864b7f86b11ecbba800155d006405_f838fdf4f57311edbbb000155d006405.png;НДС по ставке 20%;12640;0;0;;238e4031-cbb7-4107-9538-8df70738a5fe;a42864b7-f86b-11ec-bba8-00155d006405;APT576/576;path:./images/cms/data/import_files/a4/a42864b7f86b11ecbba800155d006405_f43e81b7f57311edbbb000155d006405.png|alt:|title:|ord:1;;;Аптечный крест;;;;;;;;576/576;;;;;;;;;;;;;
2374;"Кабинет ""Аптечный крест"" 480*480 крепление модулей на магниты, крепление на стену";305;1;1;2260;kabinet-aptechnyj-krest-480-480-kreplenie-modulej-na-magnity-kreplenie-na-stenu;"Кабинет ""Аптечный крест"" 480*480 крепление модулей на магниты, крепление на стену";"Кабинет ""Аптечный крест"" 480*480 крепление модулей на магниты, крепление на стену";;;;;;;;;/images/cms/data/import_files/47/47f819d2afdc11e7bec570188bcd111c_0ed98762f57411edbbb000155d006405.png;НДС по ставке 20%;11153;0;1;;238e4031-cbb7-4107-9538-8df70738a5fe;47f819d2-afdc-11e7-bec5-70188bcd111c;APT480/480;path:./images/cms/data/import_files/47/47f819d2afdc11e7bec570188bcd111c_08d8f6bef57411edbbb000155d006405.png|alt:|title:|ord:1;;;Аптечный крест;;;;;;;;480/480;;;;;;;;;;;;;
2461;"Кабинет ""Аптечный крест"" 640*640 крепление модулей на магниты, крепление на стену";305;1;1;2260;kabinet-aptechnyj-krest-640-640-kreplenie-modulej-na-magnity-kreplenie-na-stenu;"Кабинет ""Аптечный крест"" 640*640 крепление модулей на магниты, крепление на стену";"Кабинет ""Аптечный крест"" 640*640 крепление модулей на магниты, крепление на стену";;;;;;;;;/images/cms/data/import_files/1d/1d32033b923011e7bec070188bcd111c_a5bb2869f57311edbbb000155d006405.png;НДС по ставке 20%;13490;0;1;"Кабинет ""Аптечный крест"" 640*640 крепление модулей на магниты, крепление на стену";238e4031-cbb7-4107-9538-8df70738a5fe;1d32033b-9230-11e7-bec0-70188bcd111c;APT640/640;path:./images/cms/data/import_files/1d/1d32033b923011e7bec070188bcd111c_a5bb27fff57311edbbb000155d006405.png|alt:|title:|ord:1;;;Аптечный крест;;;;;;;;640/640;;;;;;;;;;;;;
2516;Подвес кабинета 576 мм;305;1;1;2260;podves-kabineta-576-mm;Подвес кабинета 576 мм;Подвес кабинета 576 мм;;;;;;;;;/images/cms/data/import_files/f6/f6a5b71b356711ecbba500155d003248_445d7b73b1df11edbbae00155d006405.jpg;НДС по ставке 20%;5311;0;0;"Обслуживание (Кабинеты) : Внутренний\Уличный<br />
Размер (Кабинеты) : 576х576<br />
Вес  : 2,3 кг<br />
Производитель (Кабинеты) : Qiangli";238e4031-cbb7-4107-9538-8df70738a5fe;f6a5b71b-3567-11ec-bba5-00155d003248;P576;;;;Подвес;;;;;;;;;;;;;;;;;;;;;
2534;Кабинет алюминиевый 640х640 indoor;305;1;1;2260;kabinet-alyuminievyj-640h640-indoor;Кабинет алюминиевый 640х640 indoor;Кабинет алюминиевый 640х640 indoor;;;;;;;;;/images/cms/data/import_files/91/919dd8a24e9511e8bedd70188bcd111c_e35d831eb1d011edbbae00155d006405.jpg;НДС по ставке 20%;10092;0;1;"Коммутация в комплекте : Да<br />
Обслуживание : Тыльное<br />
Размер : 640x640<br />
Вес : 5,7 кг<br />
Производитель : Qiangli<br />
<br />
Подробно :  <br><p><a href=""https://disk.yandex.ru/d/RzfPx_4ZqfF3tg"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;919dd8a2-4e95-11e8-bedd-70188bcd111c;KAB640/640IN2;path:./images/cms/data/import_files/91/919dd8a24e9511e8bedd70188bcd111c_d6d944d8b1d011edbbae00155d006405.jpg|alt:|title:|ord:1,path:./images/cms/data/import_files/91/919dd8a24e9511e8bedd70188bcd111c_dd0d4287b1d011edbbae00155d006405.jpg|alt:|title:|ord:1;;;Кабинет;;;;;;;;640/640;;;;;;;;;;;;;
2542;Подвес кабинета 640х480 мм;305;1;1;2260;podves-kabineta-640h480-mm;Подвес кабинета 640х480 мм;Подвес кабинета 640х480 мм;;;;;;;;;/images/cms/data/import_files/99/991e0f36a41411ebbba400155d003248_c50bee86b1de11edbbae00155d006405.jpg;НДС по ставке 20%;4781;0;0;"Размер (Кабинеты) : 640x480<br />
Вес : 2,3 кг<br />
Производитель (Кабинеты) : Qiangli";238e4031-cbb7-4107-9538-8df70738a5fe;991e0f36-a414-11eb-bba4-00155d003248;P640/480;path:./images/cms/data/import_files/99/991e0f36a41411ebbba400155d003248_c0532e96b1de11edbbae00155d006405.jpg|alt:|title:|ord:1;;;Подвес;;;;;;;;;;;;;;;;;;;;;
2570;Подвес кабинета 640х480-C indoor;305;1;1;2260;podves-kabineta-640h480-c-indoor;Подвес кабинета 640х480-C indoor;Подвес кабинета 640х480-C indoor;;;;;;;;;/images/cms/data/import_files/66/66a8b6a7dff811ecbba800155d006405_eeda71e9b1de11edbbae00155d006405.png;НДС по ставке 20%;3718;0;0;"Размер (Кабинеты) : 640x480<br />
Вес : 2,3 кг<br />
Производитель (Кабинеты) : Qiangli";238e4031-cbb7-4107-9538-8df70738a5fe;66a8b6a7-dff8-11ec-bba8-00155d006405;P640/480-C-IN;;;;Подвес;;;;;;;;;;;;;;;;;;;;;
