id;name;type-id;is-active;template-id;parent-id;alt-name;title;h1;show_submenu;index_source;index_state;index_date;index_choose;index_level;descr;text_under_catalog;photo;tax_rate_id;price;old_price;common_quantity;description;1c_catalog_id;1c_product_id;artikul;photos;text_above_catalog;tip;raznovidnost;upravlenie;vyhodnaya_mownost_vt;napryazhenie_v;kolichestvo_svetodiodov_sht;shag_pikselya_mm;gercovka_hz;yarkost_nits;razmer_mm;proizvoditel;best_offers;svetovoj_potok_lm;cvet;temperatura_k;isklyuchit_iz_publikacii_na_veb-vitrine_mag1c;interfejs;razmer_mm_shirina_vysota;brend;new;sila_toka_a;shirina_mm;kratnost_reza_sm
3029;BX-X-W4 (WIFI+U);292;1;1;2247;bx-x-w4-wifi-u;BX-X-W4 (WIFI+U);BX-X-W4 (WIFI+U);;;;;;;;;/images/cms/data/import_files/29/295f16fee64611e8a20800155d00321d_705308e0a53411edbbac00155d006405.png;НДС по ставке 20%;2440;0;21;"Память:	2 Mb<br />
Напряжение:	5V (3.5V~6V)<br />
Режим соединения:	USB, WiFi<br />
Тип поддерживаемых модулей:	Все монохромные и двухцветные<br />
Площадь управления:	Один цвет 100K: 3200*32 2112*48 1600*64; Два цвета 50K: 1600*32 1056*48 800*64<br />
Количество рядов и тип хаба:	4 разъема T12; 2 разъема T08<br />
Поддержка датчиков:	Температура, Температура и влажность, ИК<br />
Максимальная мощность:	≤2 Вт";238e4031-cbb7-4107-9538-8df70738a5fe;295f16fe-e646-11e8-a208-00155d00321d;BXXW4;;;Контроллер;Монохромный;USB, WiFi;;;;;;;;;;;;;;;;;;;;
2289;HD-A3;293;1;1;2248;hd-a3;HD-A3;HD-A3;;;;;;;;;/images/cms/data/import_files/ea/ea08eacbd1ce11e8a20500155d00321d_45b9b8c9a57011edbbac00155d006405.jpg;НДС по ставке 20%;11081;0;32;"Разрешение: 655,360 млн. пикселей (1280*512)   <br />
Максимальная ширина 4096 точек<br />
Высота 2048 точек.<br />
Память   8 гб.<br />
<br />
Подробно :  <br><p><a href=""https://disk.yandex.ru/i/At87yTJtIUDhXA"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;ea08eacb-d1ce-11e8-a205-00155d00321d;HDA3;;;Контроллер;Полноцветный;Асинхронный;;;;;;;;;;;;;;USB, WiFi, Ethernet;;;;;;
3030;BX-X-U4 (USB);292;1;1;2247;bx-x-u4-usb;BX-X-U4 (USB);BX-X-U4 (USB);;;;;;;;;/images/cms/data/import_files/29/295f16f3e64611e8a20800155d00321d_eaf09567a53211edbbac00155d006405.png;НДС по ставке 20%;1678;0;32;"Память:	2 Mb<br />
Напряжение:	5V (3.5V~6V)<br />
Режим соединения:	USB<br />
Тип поддерживаемых модулей:	Все монохромные и двухцветные<br />
Площадь управления:	Один цвет 100K: 3200*32 2112*48 1600*64; Два цвета 50K: 1600*32 1056*48 800*64<br />
Количество рядов и тип хаба:	4 разъема T12; 2 разъема T08<br />
Поддержка датчиков:	Температура, Температура и влажность, ИК<br />
Максимальная мощность:	≤2 Вт";238e4031-cbb7-4107-9538-8df70738a5fe;295f16f3-e646-11e8-a208-00155d00321d;BXXU4;;;Контроллер;Монохромный;USB;;;;;;;;;;;;;;;;;;;;
2313;HD-W61;293;1;1;2248;hd-w61;HD-W61;HD-W61;;;;;;;;;/images/cms/data/import_files/1e/1e7ad816c0f511e6beaed850e610b119_77b2a3b1a6a111edbbad00155d006405.jpg;НДС по ставке 20%;957;0;0;"Одноцветный: 16К пикселей<br />
Разрешение: Монохром 1024х16 - 512х32<br />
Разрешение: Полноцвет 256х12<br />
Максимальная длина: 1024пикс";238e4031-cbb7-4107-9538-8df70738a5fe;1e7ad816-c0f5-11e6-beae-d850e610b119;HDW61;;;Контроллер;Монохромный;;;;;;;;;;;;;;;USB, WiFi;;;;;;
3031;BX-X-U4L (USB);292;1;1;2247;bx-x-u4l-usb;BX-X-U4L (USB);BX-X-U4L (USB);;;;;;;;;/images/cms/data/import_files/29/295f16f2e64611e8a20800155d00321d_38a58500a53311edbbac00155d006405.png;НДС по ставке 20%;1615;0;39;"Память:	2 Mb<br />
Напряжение:	5V (3.5V~6V)<br />
Режим соединения:	USB<br />
Тип поддерживаемых модулей:	Все монохромные и двухцветные<br />
Площадь управления:	Один цвет 64K: 3200*16 2048*32 1344*48 1024*64; Два цвета 32K: 1600*16 1024*32 672*48 512*64<br />
Количество рядов и тип хаба:	4 разъема T12; 2 разъема T08<br />
Поддержка датчиков:	Температура, Температура и влажность, ИК<br />
Максимальная мощность:	≤2 Вт";238e4031-cbb7-4107-9538-8df70738a5fe;295f16f2-e646-11e8-a208-00155d00321d;BXXU4L;;;Контроллер;Монохромный;USB;;;;;;;;;;;;;;;;;;;;
2319;HD-U64;293;1;1;2248;hd-u64;HD-U64;HD-U64;;;;;;;;;/images/cms/data/import_files/2a/2afd31eba35411e7bec570188bcd111c_ec2017a2a62911edbbad00155d006405.png;НДС по ставке 20%;2656;0;63;"Одноцветный: 131К пикселей<br />
Разрешение: Монохром 3072х16 - 512х256<br />
Разрешение: Полноцвет 256х128<br />
Максимальная длина: 3072пикс";238e4031-cbb7-4107-9538-8df70738a5fe;2afd31eb-a354-11e7-bec5-70188bcd111c;HDU64;;;Контроллер;Монохромный;;;;;;;;;;;;;;;USB;;;;;;
3032;BX-5MT (E+U);292;1;1;2247;bx-5mt-e-u;BX-5MT (E+U);BX-5MT (E+U);;;;;;;;;/images/cms/data/import_files/7a/7a9ad6b4ba8811e5be8770188bcd111c_78aced41a52b11edbbac00155d006405.png;НДС по ставке 20%;2314;0;0;"Память:	2 Mb<br />
Напряжение:	5V (4.5V~6V)<br />
Режим соединения:	Ethernet, USB<br />
Тип поддерживаемых модулей:	Все монохромные и двухцветные<br />
Площадь управления:	Один цвет 1024*16 512*32; Два цвета 512*16 256*32<br />
Поддержка датчиков:	Температура, Температура и влажность, ИК<br />
Максимальная мощность:	≤ 0,6 Вт<br />
<br />";238e4031-cbb7-4107-9538-8df70738a5fe;7a9ad6b4-ba88-11e5-be87-70188bcd111c;BX5MT;;;Контроллер;Монохромный;USB, Ethernet;;;;;;;;;;;;;;;;;;;;
2333;HD-W62-75;293;1;1;2248;hd-w62-75;HD-W62-75;HD-W62-75;;;;;;;;;/images/cms/data/import_files/ea/ea08eaced1ce11e8a20500155d00321d_51044f81a6a211edbbad00155d006405.jpg;НДС по ставке 20%;2016;0;0;"Контроллер HD-W62-75<br />
Одноцветный: 102К пикселей<br />
Разрешение: Полноцвет 1280x80 - 640х160<br />
Максимальная длина: 1280пикс<br />
Память: 32Мб Градация: 256<br />
<br />";238e4031-cbb7-4107-9538-8df70738a5fe;ea08eace-d1ce-11e8-a205-00155d00321d;HDW6275;;;Контроллер;Полноцветный;Асинхронный;;;;;;;;;;;;;;USB, WiFi;;;;;;
3033;BX-5UL(USB);292;1;1;2247;bx-5ul-usb;BX-5UL(USB);BX-5UL(USB);;;;;;;;;/images/cms/data/import_files/50/504e90ec91b011e594483c970e8088b8_532735bea52d11edbbac00155d006405.jpg;НДС по ставке 20%;585;0;0;"Память:	2 Mb<br />
Напряжение:	5V (4.5V~6V)<br />
Режим соединения:	USB<br />
Тип поддерживаемых модулей:	Все монохромные и двухцветные<br />
Площадь управления:	Один цвет 640*16 320*32; Два цвета 320*16 160*32<br />
Поддержка датчиков:	Температура, Температура и влажность, ИК<br />
Максимальная мощность:	≤2 Вт";238e4031-cbb7-4107-9538-8df70738a5fe;504e90ec-91b0-11e5-9448-3c970e8088b8;BX5UL;;;Контроллер;Монохромный;USB;;;;;;;;;;;;;;;;;;;;
2334;HD-D16;293;1;1;2248;hd-d16;HD-D16;HD-D16;;;;;;;;;/images/cms/data/import_files/3d/3de77be008d311edbba800155d006405_034e71bfa61d11edbbad00155d006405.png;НДС по ставке 20%;4993;0;43;"Разрешение     640/64, 320/128<br />
Асинхронный <br />
U-disk/Wi-Fi/LAN/4G(Optional)<br />
5V Power x1, 10/100M RJ45 x1, USB 2.0 x1, 4Port of HUB75<br />
Память            256 Мб.<br />
<br />
Подробнее :   <br><p><a href=""https://disk.yandex.ru/i/-bTEyHjD6ADn0g"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;3de77be0-08d3-11ed-bba8-00155d006405;HDD16;;;Контроллер;Полноцветный;Асинхронный;;;;;;;;;;;;;;USB, WiFi, Ethernet;;;;;;
3034;BX-5UT;292;1;1;2247;bx-5ut;BX-5UT;BX-5UT;;;;;;;;;/images/cms/data/import_files/87/879eb5c255e711e59b823c970e8088b8_1c46715da52e11edbbac00155d006405.jpg;НДС по ставке 20%;935;0;68;"Память:	2 Mb<br />
Напряжение:	5V (4.5V~6V)<br />
Режим соединения:	USB<br />
Тип поддерживаемых модулей:	Все монохромные и двухцветные<br />
Площадь управления:	Один цвет 1024*16 512*32; Два цвета 512*16 256*32<br />
Поддержка датчиков:	Температура, Температура и влажность, ИК<br />
Максимальная мощность:	≤2 В";238e4031-cbb7-4107-9538-8df70738a5fe;879eb5c2-55e7-11e5-9b82-3c970e8088b8;BX5UT;;;Контроллер;Монохромный;USB;;;;;;;;;;;;;;;;;;;;
3035;BX-Y08;292;1;1;2247;bx-y08;BX-Y08;BX-Y08;;;;;;;;;/images/cms/data/import_files/29/295f1700e64611e8a20800155d00321d_fade3a0ba53511edbbac00155d006405.png;НДС по ставке 20%;4674;0;0;"Память:	4 Gb<br />
Внешняя память:	Max 256 Gb<br />
Конфигурация оборудования:	Процессор dual-core 1GHz, 512MB DRAM<br />
Площадь управления:	128K: 512*256 (W≤1024, H≤512)<br />
Режим соединения:	Ethernet, USB-port, iLEDCloud<br />
Тип поддерживаемых модулей:	Полноцветные<br />
Поддержка датчиков:	Температура, Температура и влажность, ИК пульт, Датчик яркости<br />
Вывод звука:	Есть, Jack 3.5 мм<br />
Количество рядов и тип хаба:	8 разъемов T75<br />
Напряжение:	5V (4.5V~6V)<br />
Максимальная мощность:	≤ 10 Вт";238e4031-cbb7-4107-9538-8df70738a5fe;295f1700-e646-11e8-a208-00155d00321d;BXY08;;;Контроллер;Полноцветный;USB, Ethernet;;;;;;;;;1;;;;;;;;;;;
2347;HD-C16C;293;1;1;2248;hd-c16c;HD-C16C;HD-C16C;;;;;;;;;/images/cms/data/import_files/34/345015c11aba11ecbba500155d003248_50010053a5e511edbbad00155d006405.jpg;НДС по ставке 20%;9922;0;0;"1. Максимальная загрузка: 204 800 пикселей, 384*320.<br />
2. Максимальная ширина 8192 пикселя, макс. высота  512.<br />
3. Оснащен Wi-Fi, управление мобильным приложением.<br />
4. Поддерживает подключение 4G модуля, удаленное управление через Интернет.<br />
C16C под шлейф<br />
Подробнее : <br />
<br><p><a href=""https://disk.yandex.ru/i/4TBzH0d0dv-YJQ"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p><br />";238e4031-cbb7-4107-9538-8df70738a5fe;345015c1-1aba-11ec-bba5-00155d003248;HDC16C;;;Контроллер;Полноцветный;Асинхронный;;;;;;;;;;;;;;USB, WiFi, Ethernet;;;;;;
2349;HD-W66;293;1;1;2248;hd-w66;HD-W66;HD-W66;;;;;;;;;/images/cms/data/import_files/97/97c53a7eb2a411e9bb9900155d005023_fd2e0fcea6a311edbbad00155d006405.jpg;НДС по ставке 20%;5195;0;0;"Контроллер HD-W66<br />
Одноцветный: 1048К пикселе<br />
Разрешение: Монохром 8192х16 - 2048х512<br />
Разрешение: Полноцвет 1536х128<br />
Максимальная длина: 8192пикс";238e4031-cbb7-4107-9538-8df70738a5fe;97c53a7e-b2a4-11e9-bb99-00155d005023;HDW66;;;Контроллер;Монохромный;;;;;;;;;;;;;;;USB, WiFi, Ethernet;;;;;;
3037;BX-X-U2L (USB);292;1;1;2247;bx-x-u2l-usb;BX-X-U2L (USB);BX-X-U2L (USB);;;;;;;;;/images/cms/data/import_files/29/295f16eee64611e8a20800155d00321d_30050de2a53211edbbac00155d006405.png;НДС по ставке 20%;724;0;37;"Память:	2 Mb<br />
Напряжение:	5V (3.5V~6V)<br />
Режим соединения:	USB<br />
Тип поддерживаемых модулей:	Все монохромные и двухцветные<br />
Площадь управления:	Один цвет 16K: 1024*16 512*32; Два цвета 16K: 512*32 256*32<br />
Количество рядов и тип хаба:	2 разъема T12; 1 разъем T08<br />
Поддержка датчиков:	Температура, Температура и влажность, ИК<br />
Максимальная мощность:	≤2 Вт";238e4031-cbb7-4107-9538-8df70738a5fe;295f16ee-e646-11e8-a208-00155d00321d;BXXU2L;;;Контроллер;Монохромный;USB;;;;;;;;;;;;;;;;;;;;
