id;name;type-id;is-active;template-id;parent-id;alt-name;title;h1;show_submenu;index_source;index_state;index_date;index_choose;index_level;descr;text_under_catalog;photo;tax_rate_id;price;old_price;common_quantity;description;1c_catalog_id;1c_product_id;artikul;photos;text_above_catalog;tip;raznovidnost;upravlenie;vyhodnaya_mownost_vt;napryazhenie_v;kolichestvo_svetodiodov_sht;shag_pikselya_mm;gercovka_hz;yarkost_nits;razmer_mm;proizvoditel;best_offers;svetovoj_potok_lm;cvet;temperatura_k;isklyuchit_iz_publikacii_na_veb-vitrine_mag1c;interfejs;razmer_mm_shirina_vysota;brend;new;sila_toka_a;shirina_mm;kratnost_reza_sm
2276;Светодиодный модуль QIANGLI, Q3,07-PRO (320*160),SMD,indoor;302;1;1;2257;svetodiodnyj-modul-qiangli-q3-07-pro-320-160-smd-indoor;Светодиодный модуль QIANGLI, Q3,07-PRO (320*160),SMD,indoor;Светодиодный модуль QIANGLI, Q3,07-PRO (320*160),SMD,indoor;;;;;;;;;/images/cms/data/import_files/6a/6ac6cadeb52e11eabba300155d003248_ad0909f1a91e11edbbad00155d006405.jpg;НДС по ставке 20%;2008;0;29;"SMD2020<br />
SCAN 1/26<br />
<br />
Подробно :   <br><p><a href="" https://disk.yandex.ru/d/VWUnsNok8NugWA"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;6ac6cade-b52e-11ea-bba3-00155d003248;Q3,07PROINDM2;path:./images/cms/data/import_files/6a/6ac6cadeb52e11eabba300155d003248_a293a7c8a91e11edbbad00155d006405.jpg|alt:|title:|ord:1,path:./images/cms/data/import_files/6a/6ac6cadeb52e11eabba300155d003248_a78cd470a91e11edbbad00155d006405.jpg|alt:|title:|ord:1;;;;;22;45416;104/52;45476;3840;700;320/160;Qiang Li;;;;;;;;;;;;
2326;Модуль Q8 SMD 256/128 Qiang Li (Чанг Ли) уличный 1/4 scan;303;1;1;2258;modul-q8-smd-256-128-qiang-li-chang-li-ulichnyj-1-4-scan;Модуль Q8 SMD 256/128 Qiang Li (Чанг Ли) уличный 1/4 scan;Модуль Q8 SMD 256/128 Qiang Li (Чанг Ли) уличный 1/4 scan;;;;;;;;;/images/cms/data/import_files/54/54c97110345c11e6be9dd850e610b119_d5673deea94b11edbbad00155d006405.jpeg;НДС по ставке 20%;1169;0;2;SMD3535;238e4031-cbb7-4107-9538-8df70738a5fe;54c97110-345c-11e6-be9d-d850e610b119;Q8OUT256;;;;;;35;5;32/16;8;1920;5500;256/128;Qiang Li;;;;;;;;;;;;
2299;Светодиодный модуль LES-238 SMD2835, 4LED, 9000-11000K, 160°;276;1;1;2231;svetodiodnyj-modul-les-238-smd2835-4led-9000-11000k-160;Светодиодный модуль LES-238 SMD2835, 4LED, 9000-11000K, 160°;Светодиодный модуль LES-238 SMD2835, 4LED, 9000-11000K, 160°;;;;;;;;;/images/cms/data/import_files/3d/3d9962e1d0ab11eabba300155d003248_12d56db897d511edbbaa00155d006405.jpg;НДС по ставке 20%;22;0;4240;"Размер кристалла              2835<br />
Угол свечения                    160<br />
Степень защиты IP             65<br />
Размер                              39.4*37.8 мм.<br />
Рабочая температура (℃) -25～+60 <br />
20 в ленте,  в упаковке 100";238e4031-cbb7-4107-9538-8df70738a5fe;3d9962e1-d0ab-11ea-bba3-00155d003248;MKX238BС;path:./images/cms/data/import_files/3d/3d9962e1d0ab11eabba300155d003248_fa1deb7897d411edbbaa00155d006405.png|alt:|title:|ord:1,path:./images/cms/data/import_files/3d/3d9962e1d0ab11eabba300155d003248_fa1debe297d411edbbaa00155d006405.png|alt:|title:|ord:1,path:./images/cms/data/import_files/3d/3d9962e1d0ab11eabba300155d003248_03ac0c4f97d511edbbaa00155d006405.png|alt:|title:|ord:1,path:./images/cms/data/import_files/3d/3d9962e1d0ab11eabba300155d003248_0897017297d511edbbaa00155d006405.png|alt:|title:|ord:1;;;;;1.44;12;4;;;;;;1;135;холодный белый;9000-11000;;;;;;;;
3132;Модуль P16  2R1G 256/128 Qiang Li (Чанг Ли) уличный;300;1;1;2255;modul-p16-2r1g-256-128-qiang-li-chang-li-ulichnyj;Модуль P16  2R1G 256/128 Qiang Li (Чанг Ли) уличный;Модуль P16  2R1G 256/128 Qiang Li (Чанг Ли) уличный;;;;;;;;;/images/cms/data/import_files/a8/a8d12bc054aa11e59b233c970e8088b8_c1371de4a7b111edbbad00155d006405.jpg;НДС по ставке 20%;1180;0;8;"Светодиодный модуль P16 2RG 256/128 Qiang Li (Чанг Ли) уличный, трехцветный<br />
красный, зеленый, желтый. Используются для изготовления аптечных крестов размером 768/768 мм. Технология DIP.";238e4031-cbb7-4107-9538-8df70738a5fe;a8d12bc0-54aa-11e5-9b23-3c970e8088b8;P162RGQL;;;;;;;;;;;;;;;;;;Да;;;;;;;
2328;Светодиодный модуль QIANGLI, Q4-Pro (320*160),outdoor;303;1;1;2258;svetodiodnyj-modul-qiangli-q4-pro-320-160-outdoor;Светодиодный модуль QIANGLI, Q4-Pro (320*160),outdoor;Светодиодный модуль QIANGLI, Q4-Pro (320*160),outdoor;;;;;;;;;/images/cms/data/import_files/ac/ac4a9deb72c211ecbba500155d003248_9e2ca059a94f11edbbad00155d006405.jpg;НДС по ставке 20%;2337;0;0;"SMD2525<br />
SCAN 1/10<br />
<br />
Подробно :  <br><p><a href="" https://disk.yandex.ru/d/Mg5eGZws_KukJA"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;ac4a9deb-72c2-11ec-bba5-00155d003248;Q4PROOUT1;path:./images/cms/data/import_files/ac/ac4a9deb72c211ecbba500155d003248_9e2c9fefa94f11edbbad00155d006405.jpg|alt:|title:|ord:1;;;;;47;45416;80/40;4;3840;5500;320/160;Qiang Li;;;;;;;;;;;;
2302;Светодиодный модуль T1, SMD2835, 1LED, 7000-8000K, 10*45°, 2W;276;1;1;2231;svetodiodnyj-modul-t1-smd2835-1led-7000-8000k-10-45-2w;Светодиодный модуль T1, SMD2835, 1LED, 7000-8000K, 10*45°, 2W;Светодиодный модуль T1, SMD2835, 1LED, 7000-8000K, 10*45°, 2W;;;;;;;;;/images/cms/data/import_files/56/56fbea7b51ca11ecbba500155d003248_1849cd9897f011edbbaa00155d006405.jpg;НДС по ставке 20%;80;0;2980;"Размер кристалла              2835<br />
Угол свечения                   10*45<br />
Степень защиты IP            65<br />
Размер                              43*28 мм.<br />
Рабочая температура (℃) -25～+60 <br />
20 в ленте";238e4031-cbb7-4107-9538-8df70738a5fe;56fbea7b-51ca-11ec-bba5-00155d003248;T1P;;;;;;2;12;1;;;;;;;120;нейтральный белый;7000-8000;;;;;;;;
3133;Модуль P16  2R1G 256/128 JH, уличный;300;1;1;2255;modul-p16-2r1g-256-128-jh-ulichnyj;Модуль P16  2R1G 256/128 JH, уличный;Модуль P16  2R1G 256/128 JH, уличный;;;;;;;;;/images/cms/data/import_files/62/62a5fef644f811e7beb870188bcd111c_b38b38c7a7b111edbbad00155d006405.jpg;НДС по ставке 20%;639;0;304;"Светодиодный модуль P16 2RG 256/128 JH уличный, трехцветный<br />
красный, зеленый, желтый. Используются для изготовления аптечных крестов размером 768/768 мм. Технология DIP.";238e4031-cbb7-4107-9538-8df70738a5fe;62a5fef6-44f8-11e7-beb8-70188bcd111c;P162RGJH;;;;;;;;;;;;;;;;;;;;;;;;;
2351;Модуль P10 320/160 Qiang Li (Чанг Ли) уличный, красный;301;1;1;2256;modul-p10-320-160-qiang-li-chang-li-ulichnyj-krasnyj;Модуль P10 320/160 Qiang Li (Чанг Ли) уличный, красный;Модуль P10 320/160 Qiang Li (Чанг Ли) уличный, красный;;;;;;;;;/images/cms/data/import_files/a8/a8d12bc654aa11e59b233c970e8088b8_50521549a7bb11edbbad00155d006405.png;НДС по ставке 20%;692;0;27;;238e4031-cbb7-4107-9538-8df70738a5fe;a8d12bc6-54aa-11e5-9b23-3c970e8088b8;QLRDIP;;;;DIP;;20;5;32/16;;;2500;;Qiang Li;;;красный;;;;320/160;;;;;
2357;Модуль Q6.66-Eco SMD 320/160 Qiang Li (Чанг Ли) уличный;303;1;1;2258;modul-q6-66-eco-smd-320-160-qiang-li-chang-li-ulichnyj;Модуль Q6.66-Eco SMD 320/160 Qiang Li (Чанг Ли) уличный;Модуль Q6.66-Eco SMD 320/160 Qiang Li (Чанг Ли) уличный;;;;;;;;;/images/cms/data/import_files/bf/bfbf181156a311e9bb9500155d005023_7451dbcba94a11edbbad00155d006405.jpg;НДС по ставке 20%;1382;0;1;"SMD2525<br />
SCAN 1/6<br />
<br />
Подробно :   <br><p><a href="" https://disk.yandex.ru/d/uWaMwIyY7BbqVQ"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;bfbf1811-56a3-11e9-bb95-00155d005023;Q6.66ECOOUT2;path:./images/cms/data/import_files/bf/bfbf181156a311e9bb9500155d005023_6b6f81e1a94a11edbbad00155d006405.jpg|alt:|title:|ord:1,path:./images/cms/data/import_files/bf/bfbf181156a311e9bb9500155d005023_70f541b0a94a11edbbad00155d006405.jpg|alt:|title:|ord:1;;;;;46;45416;48/24;6.66;1920;5500;320/160;Qiang Li;;;;;;;;;;;;
2303;Светодиодный модуль LEH-D400 SMD5630, 3LED, 9000-11000K, 160°;276;1;1;2231;svetodiodnyj-modul-leh-d400-smd5630-3led-9000-11000k-160;Светодиодный модуль LEH-D400 SMD5630, 3LED, 9000-11000K, 160°;Светодиодный модуль LEH-D400 SMD5630, 3LED, 9000-11000K, 160°;;;;;;;;;/images/cms/data/import_files/33/338c3d72abba11e6beadd850e610b119_ef4443f8972411edbbaa00155d006405.jpg;НДС по ставке 20%;23;0;787;"Размер кристалла              5630<br />
Угол свечения                    160<br />
Степень защиты IP            65<br />
Размер                             55х15х5<br />
Рабочая температура (℃) -25～+60 <br />
20 в ленте,  в упаковке 100";238e4031-cbb7-4107-9538-8df70738a5fe;338c3d72-abba-11e6-bead-d850e610b119;LEH-D400;;;;;;45323;12;3;;;;;;;120;холодный белый;9000-11000;;;;;;;;
