id;name;type-id;is-active;template-id;parent-id;alt-name;title;h1;show_submenu;index_source;index_state;index_date;index_choose;index_level;descr;text_under_catalog;photo;tax_rate_id;price;old_price;common_quantity;description;1c_catalog_id;1c_product_id;artikul;photos;text_above_catalog;tip;raznovidnost;upravlenie;vyhodnaya_mownost_vt;napryazhenie_v;kolichestvo_svetodiodov_sht;shag_pikselya_mm;gercovka_hz;yarkost_nits;razmer_mm;proizvoditel;best_offers;svetovoj_potok_lm;cvet;temperatura_k;isklyuchit_iz_publikacii_na_veb-vitrine_mag1c;interfejs;razmer_mm_shirina_vysota;brend;new;sila_toka_a;shirina_mm;kratnost_reza_sm
3105;Блок питания для H серии H_800W ;295;1;1;2250;blok-pitaniya-dlya-h-serii-h_800w;Блок питания для H серии H_800W ;Блок питания для H серии H_800W ;;;;;;;;;/images/cms/data/import_files/ee/eefadcf2a77611edbbad00155d006405_cda2a53aa79911edbbad00155d006405.jpg;НДС по ставке 20%;20182;0;0;"Резервный блок питания, не подходит для Н2<br />
<br />
Размер : 243х58х129<br />
Вес : 657 гр<br />
Производитель : Novastar<br />
Количество в коробке : 20";238e4031-cbb7-4107-9538-8df70738a5fe;eefadcf2-a776-11ed-bbad-00155d006405;NOVAPSH_800W ;path:./images/cms/data/import_files/ee/eefadcf2a77611edbbad00155d006405_eefadcf3a77611edbbad00155d006405.jpg|alt:|title:|ord:1;;;H-Серия;;;;;;;;;;;;;;;;;;;;;
2631;Блок питания HTW-24100 (24V, 4.16A);315;1;1;2270;blok-pitaniya-htw-24100-24v-4-16a;Блок питания HTW-24100 (24V, 4.16A);Блок питания HTW-24100 (24V, 4.16A);;;;;;;;;/images/cms/data/import_files/60/60c01721009011eabb9d00155d005023_89b3c04fa08a11edbbaa00155d006405.jpg;НДС по ставке 20%;1807;0;216;"Входное напряжение, В: 200-240<br />
Степень защиты	     IP67<br />
Размер, мм	    180x60x33  CV-100WD-24<br />
Размер, мм	    150x37x31  CYV-100-24<br />
Рабочая температура	     °C: -30...70<br />
Защита от короткого замыкания, перегрузки, перенапряжения.<br />
КПД 85 %";238e4031-cbb7-4107-9538-8df70738a5fe;60c01721-0090-11ea-bb9d-00155d005023;HTW24100;path:./images/cms/data/import_files/60/60c01721009011eabb9d00155d005023_826b5d9ca08a11edbbaa00155d006405.jpg|alt:|title:|ord:1;;;;;100;24;;;;;;;;;;;;;;;;45507;;
2505;Блок питания CV-100WH-5 (5V, 20A);316;1;1;2271;blok-pitaniya-cv-100wh-5-5v-20a;Блок питания CV-100WH-5 (5V, 20A);Блок питания CV-100WH-5 (5V, 20A);;;;;;;;;/images/cms/data/import_files/5b/5b9daf880ad311e7beb470188bcd111c_0e8a8508a08d11edbbaa00155d006405.jpg;НДС по ставке 20%;2391;0;0;"Входное напряжение, В: 85-264<br />
Степень защиты	     IP67<br />
Размер, мм	    220.5*70*43<br />
Рабочая температура	     °C: -30...70<br />
Защита от короткого замыкания, перегрузки, перенапряжения.<br />
КПД 86 %";238e4031-cbb7-4107-9538-8df70738a5fe;5b9daf88-0ad3-11e7-beb4-70188bcd111c;CV100WH-5;;;;;;100;5;;;;;;;;;;;;;;;;20;;
2307;Блок питания A-300NS-12 (12V, 25A);319;1;1;2274;blok-pitaniya-a-300ns-12-12v-25a;Блок питания A-300NS-12 (12V, 25A);Блок питания A-300NS-12 (12V, 25A);;;;;;;;;/images/cms/data/import_files/6b/6b1a9fd0f60211e7becd70188bcd111c_7802eeec9c8f11edbbaa00155d006405.png;НДС по ставке 20%;1627;0;247;"Входное напряжение, В: 176-264<br />
Степень защиты	      IP20<br />
Размер, мм	              215х115х30<br />
Рабочая температура     °C: -30...70<br />
Защита от короткого замыкания, перегрузки, перенапряжения<br />
КПД 82 %<br />
С вентилятором";238e4031-cbb7-4107-9538-8df70738a5fe;6b1a9fd0-f602-11e7-becd-70188bcd111c;A-300GF-12;;;;;;350;12;;;;;;;;;;;;;;;;25;;
2343;Блок питания A-300FAY-4.5 (4.5V, 60A);318;1;1;2273;blok-pitaniya-a-300fay-4-5-4-5v-60a;Блок питания A-300FAY-4.5 (4.5V, 60A);Блок питания A-300FAY-4.5 (4.5V, 60A);;;;;;;;;/images/cms/data/import_files/88/8898d58ad17411eabba300155d003248_9541ea2e9bf411edbbaa00155d006405.jpg;НДС по ставке 20%;1637;0;960;"Кулер : НЕТ<br />
Степень защиты : IP20<br />
Размер : 185x98x35<br />
Вес : 560 гр<br />
Количество в коробке : 30<br />
Все SLIM идут";238e4031-cbb7-4107-9538-8df70738a5fe;8898d58a-d174-11ea-bba3-00155d003248;A-300FAY-4.5;;;;;;300;45416;;;;;;;;;;;;;;;;60;;
3265;Блок питания ASD-12D5N10A50E Lavalee;320;1;1;2275;blok-pitaniya-asd-12d5n10a50e-lavalee;Блок питания ASD-12D5N10A50E Lavalee;Блок питания ASD-12D5N10A50E Lavalee;;;;;;;;;/images/cms/data/import_files/c0/c0524aa0c4d511eebbb100155d006405_046e1c6bc4e311eebbb100155d006405.png;НДС по ставке 20%;765;0;196;"Входящий диапазон от 9-36 В.<br />
КПД 90 %<br />
Срок службы 2 млн. часов.<br />
Размер :  16*4,7*1,7 см<br />
<br />
Блоки питания LAVALEE используют для производства светодиодных бегущих строк и экранов, которые устанавливают в маршрутные автобусы, задние стекла и крыши автомобилей.<br />";238e4031-cbb7-4107-9538-8df70738a5fe;c0524aa0-c4d5-11ee-bbb1-00155d006405;lvl-50;;;;;;50;5;;;;;;;;;;;;;;;;10;;
2394;Блок питания A-250-12 (12V, 20,8A);319;1;1;2274;blok-pitaniya-a-250-12-12v-20-8a;Блок питания A-250-12 (12V, 20,8A);Блок питания A-250-12 (12V, 20,8A);;;;;;;;;/images/cms/data/import_files/cb/cb946e7f66dd11ebbba400155d003248_c653f8ab9c8811edbbaa00155d006405.jpg;НДС по ставке 20%;1541;0;249;"Входное напряжение, В: 176-264 <br />
Степень защиты	      IP20<br />
Размер, мм	              215х115х30<br />
Рабочая температура     °C: -30...70<br />
Защита от короткого замыкания, перегрузки, перенапряжения<br />
КПД 82 %<br />
Без вентилятора";238e4031-cbb7-4107-9538-8df70738a5fe;cb946e7f-66dd-11eb-bba4-00155d003248;A-250GE-12;path:./images/cms/data/import_files/cb/cb946e7f66dd11ebbba400155d003248_b7ab4fe89c8811edbbaa00155d006405.jpg|alt:|title:|ord:1;;;;;250;12;;;;;;;;;;;;;;;;45524;;
3266;Блок питания ASD-12D5N15A75E Lavalee;320;1;1;2275;blok-pitaniya-asd-12d5n15a75e-lavalee;Блок питания ASD-12D5N15A75E Lavalee;Блок питания ASD-12D5N15A75E Lavalee;;;;;;;;;/images/cms/data/import_files/93/93b3d9abc4d511eebbb100155d006405_a9b6ac38c4e211eebbb100155d006405.png;НДС по ставке 20%;1116;0;290;"Входящий диапазон от 9-36 В.<br />
КПД 90 %<br />
Срок службы 2 млн. часов.<br />
Размер : 146*54.5*20 мм. <br />
<br />
Блоки питания LAVALEE используют для производства светодиодных бегущих строк и экранов, которые устанавливают в маршрутные автобусы, задние стекла и крыши автомобилей.<br />";238e4031-cbb7-4107-9538-8df70738a5fe;93b3d9ab-c4d5-11ee-bbb1-00155d006405;lvl-75;;;;;;75;5;;;;;;;;;;;;;;;;15;;
2388;Блок питания CYV-100-12 (12V, 8.3A);314;1;1;2269;blok-pitaniya-cyv-100-12-12v-8-3a;Блок питания CYV-100-12 (12V, 8.3A);Блок питания CYV-100-12 (12V, 8.3A);;;;;;;;;/images/cms/data/import_files/b6/b68dff3ee7c811ecbba800155d006405_eeea858ea08111edbbaa00155d006405.jpg;НДС по ставке 20%;1627;0;128;"Входное напряжение, В: 200-240<br />
Степень защиты	     IP67<br />
Размер, мм	    150x38x30<br />
Рабочая температура	     °C: -30...70<br />
Защита от короткого замыкания, перегрузки, перенапряжения<br />
КПД 85 %";238e4031-cbb7-4107-9538-8df70738a5fe;b68dff3e-e7c8-11ec-bba8-00155d006405;CYV-100-12;path:./images/cms/data/import_files/b6/b68dff3ee7c811ecbba800155d006405_eeea84eea08111edbbaa00155d006405.jpg|alt:|title:|ord:1;;;;;100;12;;;;;;;;;;;;;;;;45419;;
2510;Блок питания A-100СА-12 (12V, 8.3A), slim;319;1;1;2274;blok-pitaniya-a-100sa-12-12v-8-3a-slim;Блок питания A-100СА-12 (12V, 8.3A), slim;Блок питания A-100СА-12 (12V, 8.3A), slim;;;;;;;;;/images/cms/data/import_files/6b/6b1a9fd2f60211e7becd70188bcd111c_5817f81a9c9c11edbbaa00155d006405.png;НДС по ставке 20%;1116;0;334;"Входное напряжение, В: 176-264<br />
Степень защиты	      IP20<br />
Размер, мм	              220*55*17 <br />
Рабочая температура     °C: -30...70<br />
Защита от короткого замыкания, перегрузки, перенапряжения<br />
КПД 87 %";238e4031-cbb7-4107-9538-8df70738a5fe;6b1a9fd2-f602-11e7-becd-70188bcd111c;A-100СА-12;path:./images/cms/data/import_files/6b/6b1a9fd2f60211e7becd70188bcd111c_4d48b9ba9c8311edbbaa00155d006405.png|alt:|title:|ord:1;;;;;100;12;;;;;;;;;;;;;;;;45359;;
