id;name;type-id;is-active;template-id;parent-id;alt-name;title;h1;show_submenu;index_source;index_state;index_date;index_choose;index_level;descr;text_under_catalog;photo;tax_rate_id;price;old_price;common_quantity;description;1c_catalog_id;1c_product_id;artikul;photos;text_above_catalog;tip;raznovidnost;upravlenie;vyhodnaya_mownost_vt;napryazhenie_v;kolichestvo_svetodiodov_sht;shag_pikselya_mm;gercovka_hz;yarkost_nits;razmer_mm;proizvoditel;best_offers;svetovoj_potok_lm;cvet;temperatura_k;isklyuchit_iz_publikacii_na_veb-vitrine_mag1c;interfejs;razmer_mm_shirina_vysota;brend;new;sila_toka_a;shirina_mm;kratnost_reza_sm
2286;WIFI MODE;293;1;1;2248;wifi-mode;WIFI MODE;WIFI MODE;;;;;;;;;/images/cms/data/import_files/2a/2afd31eaa35411e7bec570188bcd111c_67be97a3a6a711edbbad00155d006405.png;НДС по ставке 20%;1700;0;0;Применяется для полноцветных контроллеров HUIDU;238e4031-cbb7-4107-9538-8df70738a5fe;2afd31ea-a354-11e7-bec5-70188bcd111c;WIFIM;;;Аксессуар;;;;;;;;;;;;;;;;;;;;;;
2289;HD-A3;293;1;1;2248;hd-a3;HD-A3;HD-A3;;;;;;;;;/images/cms/data/import_files/ea/ea08eacbd1ce11e8a20500155d00321d_45b9b8c9a57011edbbac00155d006405.jpg;НДС по ставке 20%;11081;0;32;"Разрешение: 655,360 млн. пикселей (1280*512)   <br />
Максимальная ширина 4096 точек<br />
Высота 2048 точек.<br />
Память   8 гб.<br />
<br />
Подробно :  <br><p><a href=""https://disk.yandex.ru/i/At87yTJtIUDhXA"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;ea08eacb-d1ce-11e8-a205-00155d00321d;HDA3;;;Контроллер;Полноцветный;Асинхронный;;;;;;;;;;;;;;USB, WiFi, Ethernet;;;;;;
2313;HD-W61;293;1;1;2248;hd-w61;HD-W61;HD-W61;;;;;;;;;/images/cms/data/import_files/1e/1e7ad816c0f511e6beaed850e610b119_77b2a3b1a6a111edbbad00155d006405.jpg;НДС по ставке 20%;957;0;0;"Одноцветный: 16К пикселей<br />
Разрешение: Монохром 1024х16 - 512х32<br />
Разрешение: Полноцвет 256х12<br />
Максимальная длина: 1024пикс";238e4031-cbb7-4107-9538-8df70738a5fe;1e7ad816-c0f5-11e6-beae-d850e610b119;HDW61;;;Контроллер;Монохромный;;;;;;;;;;;;;;;USB, WiFi;;;;;;
2319;HD-U64;293;1;1;2248;hd-u64;HD-U64;HD-U64;;;;;;;;;/images/cms/data/import_files/2a/2afd31eba35411e7bec570188bcd111c_ec2017a2a62911edbbad00155d006405.png;НДС по ставке 20%;2656;0;63;"Одноцветный: 131К пикселей<br />
Разрешение: Монохром 3072х16 - 512х256<br />
Разрешение: Полноцвет 256х128<br />
Максимальная длина: 3072пикс";238e4031-cbb7-4107-9538-8df70738a5fe;2afd31eb-a354-11e7-bec5-70188bcd111c;HDU64;;;Контроллер;Монохромный;;;;;;;;;;;;;;;USB;;;;;;
2333;HD-W62-75;293;1;1;2248;hd-w62-75;HD-W62-75;HD-W62-75;;;;;;;;;/images/cms/data/import_files/ea/ea08eaced1ce11e8a20500155d00321d_51044f81a6a211edbbad00155d006405.jpg;НДС по ставке 20%;2016;0;0;"Контроллер HD-W62-75<br />
Одноцветный: 102К пикселей<br />
Разрешение: Полноцвет 1280x80 - 640х160<br />
Максимальная длина: 1280пикс<br />
Память: 32Мб Градация: 256<br />
<br />";238e4031-cbb7-4107-9538-8df70738a5fe;ea08eace-d1ce-11e8-a205-00155d00321d;HDW6275;;;Контроллер;Полноцветный;Асинхронный;;;;;;;;;;;;;;USB, WiFi;;;;;;
2334;HD-D16;293;1;1;2248;hd-d16;HD-D16;HD-D16;;;;;;;;;/images/cms/data/import_files/3d/3de77be008d311edbba800155d006405_034e71bfa61d11edbbad00155d006405.png;НДС по ставке 20%;4993;0;43;"Разрешение     640/64, 320/128<br />
Асинхронный <br />
U-disk/Wi-Fi/LAN/4G(Optional)<br />
5V Power x1, 10/100M RJ45 x1, USB 2.0 x1, 4Port of HUB75<br />
Память            256 Мб.<br />
<br />
Подробнее :   <br><p><a href=""https://disk.yandex.ru/i/-bTEyHjD6ADn0g"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p>";238e4031-cbb7-4107-9538-8df70738a5fe;3de77be0-08d3-11ed-bba8-00155d006405;HDD16;;;Контроллер;Полноцветный;Асинхронный;;;;;;;;;;;;;;USB, WiFi, Ethernet;;;;;;
2342;Видеопроцессор HD-VP410;293;1;1;2248;videoprocessor-hd-vp410;Видеопроцессор HD-VP410;Видеопроцессор HD-VP410;;;;;;;;;/images/cms/data/import_files/06/06234394b78b11eabba300155d003248_e0b049c8a6b111edbbad00155d006405.png;НДС по ставке 20%;23483;0;2;"HD-VP410 - это мощный контроллер 3 в 1, загрузка составляет 2.6 миллиона пикселей, max ширина - 3840 пикселей, max высота - 1920 пикселей,  воспроизведение с U- диска, многоканальный ввод видеосигнала, произвольное переключение. <br />
<br />
Подробнее :   <br><p><a href=""https://disk.yandex.ru/i/B0ebEKSNA8Uc7Q"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p><br />
 ";238e4031-cbb7-4107-9538-8df70738a5fe;06234394-b78b-11ea-bba3-00155d003248;HDVP410;;;Видеопроцессор;Полноцветный;Синхронный;;;;;;;;;;;;;;;;;;;;
2347;HD-C16C;293;1;1;2248;hd-c16c;HD-C16C;HD-C16C;;;;;;;;;/images/cms/data/import_files/34/345015c11aba11ecbba500155d003248_50010053a5e511edbbad00155d006405.jpg;НДС по ставке 20%;9922;0;0;"1. Максимальная загрузка: 204 800 пикселей, 384*320.<br />
2. Максимальная ширина 8192 пикселя, макс. высота  512.<br />
3. Оснащен Wi-Fi, управление мобильным приложением.<br />
4. Поддерживает подключение 4G модуля, удаленное управление через Интернет.<br />
C16C под шлейф<br />
Подробнее : <br />
<br><p><a href=""https://disk.yandex.ru/i/4TBzH0d0dv-YJQ"" target=""_blank""><strong>СКАЧАТЬ</strong></a></p><br />";238e4031-cbb7-4107-9538-8df70738a5fe;345015c1-1aba-11ec-bba5-00155d003248;HDC16C;;;Контроллер;Полноцветный;Асинхронный;;;;;;;;;;;;;;USB, WiFi, Ethernet;;;;;;
2349;HD-W66;293;1;1;2248;hd-w66;HD-W66;HD-W66;;;;;;;;;/images/cms/data/import_files/97/97c53a7eb2a411e9bb9900155d005023_fd2e0fcea6a311edbbad00155d006405.jpg;НДС по ставке 20%;5195;0;0;"Контроллер HD-W66<br />
Одноцветный: 1048К пикселе<br />
Разрешение: Монохром 8192х16 - 2048х512<br />
Разрешение: Полноцвет 1536х128<br />
Максимальная длина: 8192пикс";238e4031-cbb7-4107-9538-8df70738a5fe;97c53a7e-b2a4-11e9-bb99-00155d005023;HDW66;;;Контроллер;Монохромный;;;;;;;;;;;;;;;USB, WiFi, Ethernet;;;;;;
2366;HD-W64;293;1;1;2248;hd-w64;HD-W64;HD-W64;;;;;;;;;/images/cms/data/import_files/c6/c6fee1b1f4d311e6beb170188bcd111c_cf1d1abaa6a211edbbad00155d006405.jpg;НДС по ставке 20%;3048;0;0;"Контроллер HD-W64<br />
Одноцветный: 131К пикселей<br />
Разрешение: Монохром 4096х16 - 1024х256<br />
Разрешение: Полноцвет 512х128<br />
Максимальная длина: 4096пикс";238e4031-cbb7-4107-9538-8df70738a5fe;c6fee1b1-f4d3-11e6-beb1-70188bcd111c;HDW64;;;Контроллер;Монохромный;;;;;;;;;;;;;;;USB, WiFi;;;;;;
